L,J,V0,T,λ
49,3,0.251188643150958,0.00031622776601683794,0.3057003763020932
49,3,0.32398605356263077,0.00031622776601683794,0.394295925358394
49,3,0.41788100602942213,0.00031622776601683794,0.5085675020582818
49,3,0.5389878153085522,0.00031622776601683794,0.6559563199003596
49,3,0.6951927961775606,0.00031622776601683794,0.8460601431978962
49,3,0.8966678097917787,0.00031622776601683794,1.091258280759873
49,3,1.1565326417902508,0.00031622776601683794,1.4075177100600755
49,3,1.4917093453337442,0.00031622776601683794,1.8154328256306587
49,3,1.9240241827602391,0.00031622776601683794,2.341566518716595
49,3,2.481628922836826,0.00031622776601683794,3.0201799175190276
49,3,3.2008340465997662,0.00031622776601683794,3.895463426417931
49,3,4.128473237715361,0.00031622776601683794,5.024414346488714
49,3,5.324953129837532,0.00031622776601683794,6.480548464143947
49,3,6.868186906464688,0.00031622776601683794,8.358687301629134
49,3,8.858667904100825,0.00031622776601683794,10.78113276877489
49,3,11.42601360502879,0.00031622776601683794,13.905631301137193
49,3,14.737406155824797,0.00031622776601683794,17.935646098637115
49,3,19.00847904698388,0.00031622776601683794,23.13360637925509
49,3,24.51735887979288,0.00031622776601683794,29.83799642160516
49,3,31.622776601683793,0.00031622776601683794,38.48539721217447
49,3,0.251188643150958,0.0004832930238571752,0.13826498417017563
49,3,0.32398605356263077,0.0004832930238571752,0.1783357957798817
49,3,0.41788100602942213,0.0004832930238571752,0.2300195978563881
49,3,0.5389878153085522,0.0004832930238571752,0.2966819710346855
49,3,0.6951927961775606,0.0004832930238571752,0.38266388063151513
49,3,0.8966678097917787,0.0004832930238571752,0.49356435454869924
49,3,1.1565326417902508,0.0004832930238571752,0.6366050845432532
49,3,1.4917093453337442,0.0004832930238571752,0.8211006932153433
49,3,1.9240241827602391,0.0004832930238571752,1.0590652898766013
49,3,2.481628922836826,0.0004832930238571752,1.3659948134123072
49,3,3.2008340465997662,0.0004832930238571752,1.7618761072669489
49,3,4.128473237715361,0.0004832930238571752,2.2724884361776523
49,3,5.324953129837532,0.0004832930238571752,2.93108219769889
49,3,6.868186906464688,0.0004832930238571752,3.7805441439860172
49,3,8.858667904100825,0.0004832930238571752,4.8761901102083005
49,3,11.42601360502879,0.0004832930238571752,6.28936710836121
49,3,14.737406155824797,0.0004832930238571752,8.112099350048949
49,3,19.00847904698388,0.0004832930238571752,10.463080741078157
49,3,24.51735887979288,0.0004832930238571752,13.495404071161925
49,3,31.622776601683793,0.0004832930238571752,17.406530213315254
49,3,0.251188643150958,0.0007386199822079358,0.06394776754473522
49,3,0.32398605356263077,0.0007386199822079358,0.08248057946038646
49,3,0.41788100602942213,0.0007386199822079358,0.10638441730373133
49,3,0.5389878153085522,0.0007386199822079358,0.13721586728776633
49,3,0.6951927961775606,0.0007386199822079358,0.17698263253892452
49,3,0.8966678097917787,0.0007386199822079358,0.22827427206154235
49,3,1.1565326417902508,0.0007386199822079358,0.2944308293852866
49,3,1.4917093453337442,0.0007386199822079358,0.37976033176939217
49,3,1.9240241827602391,0.0007386199822079358,0.4898193232233771
49,3,2.481628922836826,0.0007386199822079358,0.6317746992824426
49,3,3.2008340465997662,0.0007386199822079358,0.8148704057381481
49,3,4.128473237715361,0.0007386199822079358,1.0510293921267013
49,3,5.324953129837532,0.0007386199822079358,1.355630018387484
49,3,6.868186906464688,0.0007386199822079358,1.7485074732636197
49,3,8.858667904100825,0.0007386199822079358,2.2552454154824138
49,3,11.42601360502879,0.0007386199822079358,2.908841947676154
49,3,14.737406155824797,0.0007386199822079358,3.751858409054983
49,3,19.00847904698388,0.0007386199822079358,4.8391909133606
49,3,24.51735887979288,0.0007386199822079358,6.2416451109758935
49,3,31.622776601683793,0.0007386199822079358,8.05054695895735
49,3,0.251188643150958,0.0011288378916846896,0.073021366373929
49,3,0.32398605356263077,0.0011288378916846896,0.09418381348961888
49,3,0.41788100602942213,0.0011288378916846896,0.12147938560917401
49,3,0.5389878153085522,0.0011288378916846896,0.15668553418267545
49,3,0.6951927961775606,0.0011288378916846896,0.20209483690586244
49,3,0.8966678097917787,0.0011288378916846896,0.2606642873386779
49,3,1.1565326417902508,0.0011288378916846896,0.3362078504035735
49,3,1.4917093453337442,0.0011288378916846896,0.4336448227222075
49,3,1.9240241827602391,0.0011288378916846896,0.5593201706862221
49,3,2.481628922836826,0.0011288378916846896,0.7214177062523583
49,3,3.2008340465997662,0.0011288378916846896,0.9304930059216154
49,3,4.128473237715361,0.0011288378916846896,1.200160775879505
49,3,5.324953129837532,0.0011288378916846896,1.5479814236035583
49,3,6.868186906464688,0.0011288378916846896,1.996604568305165
49,3,8.858667904100825,0.0011288378916846896,2.575243954088948
49,3,11.42601360502879,0.0011288378916846896,3.3215798102181084
49,3,14.737406155824797,0.0011288378916846896,4.284212537662942
49,3,19.00847904698388,0.0011288378916846896,5.525827502745787
49,3,24.51735887979288,0.0011288378916846896,7.1272770250466255
49,3,31.622776601683793,0.0011288378916846896,9.192845373207131
49,3,0.251188643150958,0.001725210549942041,0.1502628632519215
49,3,0.32398605356263077,0.001725210549942041,0.19381080072459342
49,3,0.41788100602942213,0.001725210549942041,0.24997944045916934
49,3,0.5389878153085522,0.001725210549942041,0.32242640976999926
49,3,0.6951927961775606,0.001725210549942041,0.41586935920096924
49,3,0.8966678097917787,0.001725210549942041,0.5363931696711673
49,3,1.1565326417902508,0.001725210549942041,0.691846191849016
49,3,1.4917093453337442,0.001725210549942041,0.892351320337323
49,3,1.9240241827602391,0.001725210549942041,1.1509651831422358
