L,T,V0,λ,J
29.0,0.00545559478116852,1.944862438937362,1.2952412477721063,1.0
29.0,0.00545559478116852,1.9952623149688795,1.3288066028387044,1.0
29.0,0.0069519279617756054,1.5848931924611136,1.0537890387501558,1.0
29.0,0.0069519279617756054,1.6259646938814813,1.0810973130286172,1.0
29.0,0.0069519279617756054,1.6681005372000588,1.1091132639070855,1.0
29.0,0.0069519279617756054,1.7113283041617808,1.137855230375607,1.0
29.0,0.0069519279617756054,1.7556762912750012,1.167342026667527,1.0
29.0,0.0069519279617756054,1.801173528334133,1.1975929545750863,1.0
29.0,0.0069519279617756054,1.847849797422291,1.228627816084258,1.0
29.0,0.0069519279617756054,1.8957356524063758,1.2604669263368824,1.0
29.0,0.0069519279617756054,1.944862438937362,1.293131126928836,1.0
29.0,0.0069519279617756054,1.9952623149688795,1.3266417995527224,1.0
29.0,0.008858667904100823,1.5848931924611136,1.0501965415946448,1.0
29.0,0.008858667904100823,1.6259646938814813,1.077411718588868,1.0
29.0,0.008858667904100823,1.6681005372000588,1.105332159626055,1.0
29.0,0.008858667904100823,1.7113283041617808,1.1339761411763545,1.0
29.0,0.008858667904100823,1.7556762912750012,1.163362413333077,1.0
29.0,0.008858667904100823,1.801173528334133,1.1935102120862635,1.0
29.0,0.008858667904100823,1.847849797422291,1.2244392719144526,1.0
29.0,0.008858667904100823,1.8957356524063758,1.2561698387026756,1.0
29.0,0.008858667904100823,1.944862438937362,1.2887226829952207,1.0
29.0,0.008858667904100823,1.9952623149688795,1.3221191135918475,1.0
29.0,0.011288378916846888,1.5848931924611136,1.044326835963157,1.0
29.0,0.011288378916846888,1.6259646938814813,1.0713899032604541,1.0
29.0,0.011288378916846888,1.6681005372000588,1.0991542927744158,1.0
29.0,0.011288378916846888,1.7113283041617808,1.127638178825295,1.0
29.0,0.011288378916846888,1.7556762912750012,1.1568602067093254,1.0
29.0,0.011288378916846888,1.801173528334133,1.1868395049036946,1.0
29.0,0.011288378916846888,1.847849797422291,1.2175956975880196,1.0
29.0,0.011288378916846888,1.8957356524063758,1.2491489174900308,1.0
29.0,0.011288378916846888,1.944862438937362,1.2815198190643273,1.0
29.0,0.011288378916846888,1.9952623149688795,1.3147295920126199,1.0
29.0,0.01438449888287663,1.5848931924611136,1.0364428508633432,1.0
29.0,0.01438449888287663,1.6259646938814813,1.0633016096894012,1.0
29.0,0.01438449888287663,1.6681005372000588,1.0908563962077436,1.0
29.0,0.01438449888287663,1.7113283041617808,1.1191252475343643,1.0
29.0,0.01438449888287663,1.7556762912750012,1.1481266682056854,1.0
29.0,0.01438449888287663,1.801173528334133,1.1778796422914328,1.0
29.0,0.01438449888287663,1.847849797422291,1.2084036458214547,1.0
29.0,0.01438449888287663,1.8957356524063758,1.2397186595345697,1.0
29.0,0.01438449888287663,1.944862438937362,1.2718451819577166,1.0
29.0,0.01438449888287663,1.9952623149688795,1.3048042428242483,1.0
29.0,0.018329807108324356,1.5848931924611136,1.0271425493610193,1.0
29.0,0.018329807108324356,1.6259646938814813,1.0537602967749116,1.0
29.0,0.018329807108324356,1.6681005372000588,1.081067826223363,1.0
29.0,0.018329807108324356,1.7113283041617808,1.109083012969991,1.0
29.0,0.018329807108324356,1.7556762912750012,1.1378241955046748,1.0
29.0,0.018329807108324356,1.801173528334133,1.1673101875475693,1.0
29.0,0.018329807108324356,1.847849797422291,1.1975602903645497,1.0
29.0,0.018329807108324356,1.8957356524063758,1.2285943054014572,1.0
29.0,0.018329807108324356,1.944862438937362,1.2604325472459883,1.0
29.0,0.018329807108324356,1.9952623149688795,1.2930958569256243,1.0
29.0,0.023357214690901226,1.5848931924611136,1.01658132244717,1.0
29.0,0.023357214690901226,1.6259646938814813,1.0429253823670381,1.0
29.0,0.023357214690901226,1.6681005372000588,1.069952131883633,1.0
29.0,0.023357214690901226,1.7113283041617808,1.0976792624646587,1.0
29.0,0.023357214690901226,1.7556762912750012,1.1261249240410725,1.0
29.0,0.023357214690901226,1.801173528334133,1.1553077368875064,1.0
29.0,0.023357214690901226,1.847849797422291,1.185246803811587,1.0
29.0,0.023357214690901226,1.8957356524063758,1.215961722657714,1.0
29.0,0.023357214690901226,1.944862438937362,1.247472599136215,1.0
29.0,0.023357214690901226,1.9952623149688795,1.279800059984053,1.0
29.0,0.029763514416313176,1.5848931924611136,1.0038651115776231,1.0
29.0,0.029763514416313176,1.6259646938814813,1.0298796389616254,1.0
29.0,0.029763514416313176,1.6681005372000588,1.0565683163158228,1.0
29.0,0.029763514416313176,1.7113283041617808,1.0839486138088537,1.0
29.0,0.029763514416313176,1.7556762912750012,1.1120384543378008,1.0
29.0,0.029763514416313176,1.801173528334133,1.1408562252602161,1.0
29.0,0.029763514416313176,1.847849797422291,1.1704207904303299,1.0
29.0,0.029763514416313176,1.8957356524063758,1.2007515025472624,1.0
29.0,0.029763514416313176,1.944862438937362,1.2318682158229395,1.0
29.0,0.029763514416313176,1.9952623149688795,1.2637912989786513,1.0
29.0,0.0379269019073225,1.5848931924611136,0.9870324258323241,1.0
29.0,0.0379269019073225,1.6259646938814813,1.012610744846368,1.0
29.0,0.0379269019073225,1.6681005372000588,1.0388519097670577,1.0
29.0,0.0379269019073225,1.7113283041617808,1.0657730978257012,1.0
29.0,0.0379269019073225,1.7556762912750012,1.093391931391114,1.0
29.0,0.0379269019073225,1.801173528334133,1.121726489502724,1.0
29.0,0.0379269019073225,1.847849797422291,1.1507953197096115,1.0
29.0,0.0379269019073225,1.8957356524063758,1.1806174502056304,1.0
29.0,0.0379269019073225,1.944862438937362,1.211212402290461,1.0
29.0,0.0379269019073225,1.9952623149688795,1.2426002031453567,1.0
29.0,0.04832930238571752,1.5848931924611136,0.9637167271825767,1.0
29.0,0.04832930238571752,1.6259646938814813,0.9886908346603284,1.0
29.0,0.04832930238571752,1.6681005372000588,1.014312130285847,1.0
29.0,0.04832930238571752,1.7113283041617808,1.0405973855312627,1.0
29.0,0.04832930238571752,1.7556762912750012,1.067563806487089,1.0
29.0,0.04832930238571752,1.801173528334133,1.0952290451284186,1.0
29.0,0.04832930238571752,1.847849797422291,1.1236112108775327,1.0
29.0,0.04832930238571752,1.8957356524063758,1.1527288824438713,1.0
29.0,0.04832930238571752,1.944862438937362,1.1826011199916064,1.0
29.0,0.04832930238571752,1.9952623149688795,1.2132474776219924,1.0
29.0,0.06158482110660264,1.5848931924611136,0.9322563000993416,1.0
29.0,0.06158482110660264,1.6259646938814813,0.9564151305681358,1.0
29.0,0.06158482110660264,1.6681005372000588,0.9812000218065186,1.0
29.0,0.06158482110660264,1.7113283041617808,1.0066271977707952,1.0
29.0,0.06158482110660264,1.7556762912750012,1.0327133028658826,1.0
29.0,0.06158482110660264,1.801173528334133,1.0594754128220887,1.0
29.0,0.06158482110660264,1.847849797422291,1.0869310458764476,1.0
29.0,0.06158482110660264,1.8957356524063758,1.1150981742362536,1.0
29.0,0.06158482110660264,1.944862438937362,1.1439952358621832,1.0
29.0,0.06158482110660264,1.9952623149688795,1.1736411464945125,1.0
29.0,0.07847599703514611,1.5848931924611136,0.8926163340157393,1.0
29.0,0.07847599703514611,1.6259646938814813,0.9157479199199235,1.0
29.0,0.07847599703514611,1.6681005372000588,0.9394789461951287,1.0
29.0,0.07847599703514611,1.7113283041617808,0.9638249469582072,1.0
29.0,0.07847599703514611,1.7556762912750012,0.9888018588827985,1.0
29.0,0.07847599703514611,1.801173528334133,1.014426031631309,1.0
29.0,0.07847599703514611,1.847849797422291,1.0407142385572958,1.0
29.0,0.07847599703514611,1.8957356524063758,1.0676836876851103,1.0
29.0,0.07847599703514611,1.944862438937362,1.0953520329741522,1.0
29.0,0.07847599703514611,1.9952623149688795,1.1237373858749644,1.0
29.0,0.1,1.5848931924611136,0.8464302049824157,1.0
29.0,0.1,1.6259646938814813,0.8683649066591846,1.0
29.0,0.1,1.6681005372000588,0.8908680322116765,1.0
29.0,0.1,1.7113283041617808,0.9139543119839639,1.0
29.0,0.1,1.7556762912750012,0.9376388580476058,1.0
29.0,0.1,1.801173528334133,0.9619371740939294,1.0
29.0,0.1,1.847849797422291,0.9868651655825919,1.0
29.0,0.1,1.8957356524063758,1.012439150153111,1.0
29.0,0.1,1.944862438937362,1.0386758683063362,1.0
29.0,0.1,1.9952623149688795,1.0655924943625048,1.0
29.0,0.001,0.15848931924611134,0.19115466022864366,0.0
29.0,0.001,0.15848931924611134,0.1056302574271392,1.0
29.0,0.001,0.15848931924611134,0.9592920724296774,2.0
29.0,0.001,0.15848931924611134,0.19291787123462065,3.0
29.0,0.001,0.19008479046983878,0.22926209608150905,0.0
29.0,0.001,0.19008479046983878,0.126688066084337,1.0
29.0,0.001,0.19008479046983878,1.1505307326357685,2.0
29.0,0.001,0.19008479046983878,0.23137681015952705,3.0
29.0,0.001,0.2279789435643566,0.2749663996515584,0.0
29.0,0.001,0.2279789435643566,0.15194383199586614,1.0
29.0,0.001,0.2279789435643566,1.3798935744217102,2.0
29.0,0.001,0.2279789435643566,0.2775026903261334,3.0
29.0,0.001,0.27342744561652343,0.32978203649704246,0.0
29.0,0.001,0.27342744561652343,0.1822344345063948,1.0
29.0,0.001,0.27342744561652343,1.654980803831444,2.0
29.0,0.001,0.27342744561652343,0.33282394672632726,3.0
29.0,0.001,0.3279362859020881,0.3955253868616454,0.0
29.0,0.001,0.3279362859020881,0.21856358816045218,1.0
29.0,0.001,0.3279362859020881,1.9849077579757717,2.0
29.0,0.001,0.3279362859020881,0.39917371389915296,3.0
29.0,0.001,0.3933116786018691,0.47437493355844856,0.0
29.0,0.001,0.3933116786018691,0.2621351019578892,1.0
29.0,0.001,0.3933116786018691,2.380606952389568,2.0
29.0,0.001,0.3933116786018691,0.4787505689879443,3.0
29.0,0.001,0.4717199138213297,0.5689434485460684,0.0
29.0,0.001,0.4717199138213297,0.31439276897315377,1.0
29.0,0.001,0.4717199138213297,2.8551903427215657,2.0
29.0,0.001,0.4717199138213297,0.5741913841656079,3.0
29.0,0.001,0.5657591401470917,0.6823645701836176,0.0
29.0,0.001,0.5657591401470917,0.37706820812760034,1.0
29.0,0.001,0.5657591401470917,3.4243838047216046,2.0
29.0,0.001,0.5657591401470917,0.6886587024783636,3.0
29.0,0.001,0.6785454573393577,0.8183966400030888,0.0
29.0,0.001,0.6785454573393577,0.452238243407881,1.0
29.0,0.001,0.6785454573393577,4.10704822952785,2.0
29.0,0.001,0.6785454573393577,0.8259455324087569,3.0
29.0,0.001,0.8138161719423083,0.9815472397520832,0.0
29.0,0.001,0.8138161719423083,0.5423937218579753,1.0
29.0,0.001,0.8138161719423083,4.925804501355879,2.0
29.0,0.001,0.8138161719423083,0.9906010336483294,3.0
29.0,0.001,0.9760536373079002,1.1772225553874434,0.0
29.0,0.001,0.9760536373079002,0.650522050709476,1.0
29.0,0.001,0.9760536373079002,5.907783066956381,2.0
29.0,0.001,0.9760536373079002,1.1880812588250693,3.0
29.0,0.001,1.1706337816171068,1.4119065173704488,0.0
29.0,0.001,1.1706337816171068,0.7802061886145336,1.0
29.0,0.001,1.1706337816171068,7.085522934702225,2.0
29.0,0.001,1.1706337816171068,1.4249299461890828,3.0
29.0,0.001,1.404004245548316,1.693375653286785,0.0
29.0,0.001,1.404004245548316,0.9357433711717099,1.0
29.0,0.001,1.404004245548316,8.498049892691139,2.0
29.0,0.001,1.404004245548316,1.7089953540335892,3.0
29.0,0.001,1.6838980323928916,2.030956772184146,0.0
29.0,0.001,1.6838980323928916,1.122287504853923,1.0
29.0,0.001,1.6838980323928916,10.192169673882084,2.0
29.0,0.001,1.6838980323928916,2.0496903219134284,3.0
29.0,0.001,2.0195897501643794,2.4358360192994217,0.0
29.0,0.001,2.0195897501643794,1.3460199477278643,1.0
29.0,0.001,2.0195897501643794,12.22401891880458,2.0
29.0,0.001,2.0195897501643794,2.458304176093748,3.0
29.0,0.001,2.42220293658337,2.921429542065351,0.0
29.0,0.001,2.42220293658337,1.6143543359837598,1.0
29.0,0.001,2.42220293658337,14.660925328804595,2.0
29.0,0.001,2.42220293658337,2.948376814580676,3.0
29.0,0.001,2.9050786505108603,3.50382804984832,0.0
29.0,0.001,2.9050786505108603,1.9361822434421139,1.0
29.0,0.001,2.9050786505108603,17.58363864818071,2.0
29.0,0.001,2.9050786505108603,3.5361473674791455,3.0
29.0,0.001,3.4842175435383975,4.202329998424187,0.0
29.0,0.001,3.4842175435383975,2.3221678142525413,1.0
29.0,0.001,3.4842175435383975,21.089006401412718,2.0
29.0,0.001,3.4842175435383975,4.241092299563514,3.0
29.0,0.001,4.1788100602942215,5.040081066883499,0.0
29.0,0.001,4.1788100602942215,2.7851011317838643,1.0
29.0,0.001,4.1788100602942215,25.29318304916618,2.0
29.0,0.001,4.1788100602942215,5.0865707857190925,3.0
29.0,0.001,5.011872336272722,6.0448411167811615,0.0
29.0,0.001,5.011872336272722,3.3403220329967787,1.0
29.0,0.001,5.011872336272722,30.335478902209967,2.0
29.0,0.001,5.011872336272722,6.100598744524796,3.0
29.0,0.0014384498882876629,0.15848931924611134,0.19113663099046252,0.0
29.0,0.0014384498882876629,0.15848931924611134,0.10563025740539841,1.0
29.0,0.0014384498882876629,0.15848931924611134,0.8044124146927403,2.0
29.0,0.0014384498882876629,0.15848931924611134,0.19291787123461865,3.0
29.0,0.0014384498882876629,0.19008479046983878,0.22924047264354927,0.0
29.0,0.0014384498882876629,0.19008479046983878,0.12668806605826194,1.0
29.0,0.0014384498882876629,0.19008479046983878,0.9647752039414367,2.0
29.0,0.0014384498882876629,0.19008479046983878,0.23137681015952474,3.0
29.0,0.0014384498882876629,0.2279789435643566,0.2749404654959106,0.0
29.0,0.0014384498882876629,0.2279789435643566,0.15194383196459257,1.0
29.0,0.0014384498882876629,0.2279789435643566,1.1571069480519818,2.0
29.0,0.0014384498882876629,0.2279789435643566,0.2775026903261313,3.0
29.0,0.0014384498882876629,0.27342744561652343,0.32975093226512464,0.0
29.0,0.0014384498882876629,0.27342744561652343,0.1822344344688862,1.0
29.0,0.0014384498882876629,0.27342744561652343,1.3877807843322678,2.0
29.0,0.0014384498882876629,0.27342744561652343,0.332823946726324,3.0
29.0,0.0014384498882876629,0.3279362859020881,0.3954880818783508,0.0
29.0,0.0014384498882876629,0.3279362859020881,0.21856358811546756,1.0
29.0,0.0014384498882876629,0.3279362859020881,1.6644403601622513,2.0
29.0,0.0014384498882876629,0.3279362859020881,0.3991737138991485,3.0
29.0,0.0014384498882876629,0.3933116786018691,0.4743301916795206,0.0
29.0,0.0014384498882876629,0.3933116786018691,0.2621351019039348,1.0
29.0,0.0014384498882876629,0.3933116786018691,1.9962531141905153,2.0
29.0,0.0014384498882876629,0.3933116786018691,0.47875056898794016,3.0
29.0,0.0014384498882876629,0.4717199138213297,0.5688897871970154,0.0
29.0,0.0014384498882876629,0.4717199138213297,0.3143927689084443,1.0
29.0,0.0014384498882876629,0.4717199138213297,2.394214050136867,2.0
29.0,0.0014384498882876629,0.4717199138213297,0.5741913841656013,3.0
29.0,0.0014384498882876629,0.5657591401470917,0.682300211232873,0.0
